restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
Ambur Biriyani Centre,3.2,150.0,Sarjapur Road,Biryani,Budget-Friendly
Ambur Biriyani Classic,3.3,700.0,Electronic City,Biryani,Luxury Premium
Ambur Biriyani Point,3.6,150.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Ambur Biriyani Zone,3.2,200.0,Kammanahalli,Biryani,Budget-Friendly
Ambur Biryani,3.2,450.0,Hsr,South Indian,Luxury Premium
Ambur Biryani Hotel,3.2,200.0,"Byresandra,Tavarekere,Madiwala",Biryani,Budget-Friendly
Ambur Biryani Mess,3.4,250.0,Koramangala 4Th Block,Biryani,Budget-Friendly
Ambur Biryani Point,3.3,150.0,Bellandur,Biryani,Budget-Friendly
Ambur Chicken Biryani,3.1,250.0,Hsr,Biryani,Budget-Friendly
Ambur Darbar Biriyani Point,3.2,200.0,Malleshwaram,Biryani,Budget-Friendly
Ambur Dum Biriyani,2.8,160.0,Banashankari,Biryani,Budget-Friendly
Ambur Dum Biryani,2.8,300.0,Electronic City,Biryani,Budget-Friendly
Ambur Hot Dum Biriyani,3.1,200.0,Old Airport Road,Biryani,Budget-Friendly
Ambur Hot Dum Biryani,3.0,200.0,Marathahalli,Biryani,Budget-Friendly
Ambur Star Biryani,3.5,200.0,Bellandur,Biryani,Budget-Friendly
Ambur Star Briyani,3.6,500.0,Indiranagar,North Indian,Luxury Premium
Ambur Star Dum Biriyani,3.2,200.0,Residency Road,Biryani,Budget-Friendly
Ambur Star Dum Biryani,2.8,250.0,Bellandur,Biryani,Budget-Friendly
Ambur Tasty Biriyani,3.2,200.0,Hsr,Biryani,Budget-Friendly
Amchoor,3.8,250.0,Marathahalli,North Indian,Budget-Friendly
Amdo'S Corner Tibetan Foods,4.0,250.0,Brigade Road,Tibetan,Budget-Friendly
American Bites,2.4,450.0,Frazer Town,Fast Food,Luxury Premium
American Desserts,3.6,500.0,Kalyan Nagar,Desserts,Luxury Premium
Amexicano,3.8,400.0,Indiranagar,American,Mid-Range
Amigos Kitchen,3.7,400.0,Kalyan Nagar,Chinese,Mid-Range
Amjad Bhai'S Star Hotel - Home Food Only,2.8,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Ammachide Addukala,3.5,300.0,Bannerghatta Road,Kerala,Budget-Friendly
Amma'S Biryani & Rice,2.8,300.0,Kalyan Nagar,Biryani,Budget-Friendly
Amma'S Cafe,3.2,300.0,Hsr,Fast Food,Budget-Friendly
Amma'S Pastries,3.9,400.0,Kalyan Nagar,Bakery,Mid-Range
Amma'S Special,3.5,400.0,Koramangala 6Th Block,South Indian,Mid-Range
Ammayi Thakkaram,3.5,400.0,Koramangala 6Th Block,Kerala,Mid-Range
Ammi'S Biryani,2.7,500.0,Kalyan Nagar,Biryani,Luxury Premium
